Drug Type,Country,Year,Best,High,Male,Female,Low,Age,Source,Method,Adjustment,Specific notes,Sub-region,Region
Cannabis,Luxembourg,2006,6.6,8.66,,,4.5,15-64,ARQ,SS,d,,Western and Central Europe,Europe
Cannabis,Luxembourg,2003,7.6,,,,,15-64,UNODC Estimate,,,,Western and Central Europe,Europe
Cannabis,Madagascar,2004,9.1,,,,,15-64,ARQ,"SS, A","d, e",,East Africa,Africa
Cannabis,Malaysia,2003,1.6,,,,,15-64,UNODC Estimate,,,,East and South-East Asia,Asia
Cannabis,Maldives,2012,2.55,,,,,15-64,Government source,,,,South Asia,Asia
Cannabis,Malta,2013,0.9,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Malta,2011,3.1,4.82,,,1.39,15-64,ESPAD,SS,d,,Western and Central Europe,Europe
Cannabis,Malta,2007,4.51,4.6,,,4.42,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Cannabis,Mauritius,2009,1.08,,,,,15-54,Government source,,a,,East Africa,Africa
Cannabis,Mauritius,2004,3.9,,,,,15-54,ARQ,,,,East Africa,Africa
Cannabis,Mexico,2016,2.1,2.3,3.5,0.9,1.9,12-65,ARQ/Government,HHS,,Cannabis herb,North America,Americas
Cannabis,Mexico,2011,1.2,1.46,2.2,0.3,0.96,12-65,Government Source,HHS,,,North America,Americas
Cannabis,Mexico,2008,1,,,,,12-65,Government source,HHS,,,North America,Americas
Cannabis,Montenegro,2017,4.6,,4.9,4.3,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Montenegro,2015,1.82,2.54,,,1.1,15-64,ESPAD/UNODC Estimate,SS,"d, e",,South-Eastern Europe,Europe
Cannabis,Montenegro,2011,1.9,3.3,,,0.43,15-64,ESPAD,SS,d,,South-Eastern Europe,Europe
Cannabis,Montenegro,2008,0.23,,,,,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Cannabis,Morocco,2017,10.47,,,,,15-64,MedSPAD/UNODC estimate,SS,d,,North Africa,Africa
Cannabis,Morocco,2004,4.22,,,,,15-64,ARQ,HHS,,,North Africa,Africa
Cannabis,Myanmar,2005,0.94,,,,,15-64,UNODC Estimate,,"d, e",,East and South-East Asia,Asia
Cannabis,Netherlands,2017,9.2,9.9,12.3,6.2,8.5,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cannabis,Netherlands,2016,8.4,,11,5.7,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cannabis,Netherlands,2015,8.7,,11.6,5.7,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cannabis,Netherlands,2014,8,,10.5,5.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Netherlands,2009,7,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Cannabis,Netherlands,2005,5.4,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Cannabis,New Zealand,2018,11.9,,15.7,8.4,,15+,Government source,HHS,,Data for 2017-18.,Australia and New Zealand,Oceania
Cannabis,New Zealand,2017,14.03,,18.55,9.61,,15-64,Government source,HHS,a,Data for 2016-17.,Australia and New Zealand,Oceania
Cannabis,New Zealand,2016,13.73,,17.9,9.66,,15-64,Government source,HHS,a,Data for 2015-16.,Australia and New Zealand,Oceania
Cannabis,New Zealand,2013,11,11.7,14.3,7.9,10.3,15+,Government source,HHS,,2012/13 New Zealand Health Survey: Drug Module,Australia and New Zealand,Oceania
Cannabis,New Zealand,2008,14.6,15.7,18.2,11.3,13.4,16-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey,Australia and New Zealand,Oceania
Cannabis,New Zealand,2007,14.6,,,,,16-64,Government source,HHS,,,Australia and New Zealand,Oceania
Cannabis,New Zealand,2006,13.25,,,,,15-64,ARQ,HHS,a,,Australia and New Zealand,Oceania
Cannabis,Nicaragua,2006,1.07,1.07,,,1.06,12-65,UNODC Estimate,HHS,c,,Central America,Americas
Cannabis,Nicaragua,2002,2.2,,,,,12-65,UNODC Estimate,HHS,,,Central America,Americas
Cannabis,Nigeria,2017,10.76,11.26,18.8,2.6,10.26,15-64,Government/UNODC,HHS/I,,,West and Central Africa,Africa
Cannabis,Nigeria,2008,14.3,16.84,,,11.76,15-64,ARQ,HHS,"a, b, e",,West and Central Africa,Africa
Cannabis,North Macedonia,2017,6.6,,8.3,4,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,North Macedonia,2015,1.13,1.58,,,0.68,15-64,ESPAD/UNODC Estimate,SS,"d, e",,South-Eastern Europe,Europe
Cannabis,North Macedonia,2008,0.63,2.38,,,0.46,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Cannabis,Norway,2018,5.4,,7,3.7,,16-64,ARQ,HHS,,"Cannabis herb, resin and other types of cannabis",Western and Central Europe,Europe
Cannabis,Norway,2017,5.3,,7,3.4,,16-64,ARQ,HHS,,Includes herb and hashish,Western and Central Europe,Europe
Cannabis,Norway,2016,3.9,,5.1,2.6,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Norway,2015,4.2,,5.5,2.9,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Norway,2014,4.2,,6,2.3,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Norway,2013,5.1,,7.2,2.8,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Norway,2009,3.8,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Norway,2004,4.6,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Cannabis,Pakistan,2012,3.6,4,6.7,0.2,3.1,15-64,Government/UNODC,,,,Near and Middle East/South-West Asia,Asia
Cannabis,Pakistan,2000,3.9,,,,,15-64,INCSR,,,,Near and Middle East/South-West Asia,Asia
Cannabis,Panama,2015,0.77,,1.52,0.14,,12-65,ARQ,HHS,,Urban areas. Cannabis herb.,Central America,Americas
Cannabis,Panama,2003,3.55,3.7,,,3.4,12-65,UNODC Estimate,HHS,"d, e",,Central America,Americas
Cannabis,Paraguay,2005,1.6,,,,,12-65,UNODC Estimate,,,,South America,Americas
Cannabis,Peru,2010,1.03,,1.98,0.22,,12-65,ARQ,HHS,,,South America,Americas
Cannabis,Peru,2006,0.7,,,,,15-64,Government source,HHS,,,South America,Americas
Cannabis,Philippines,2016,1.64,,,,,10-69,ARQ,HHS,,Cannabis herb. Data for 2015/16.,East and South-East Asia,Asia
Cannabis,Philippines,2012,0.61,,,,,10-69,ARQ,HHS,,,East and South-East Asia,Asia
Cannabis,Philippines,2008,0.74,,,,,10-64,ARQ,HHS,,,East and South-East Asia,Asia
Cannabis,Poland,2019,3.8,,5,2.6,,15-64,ARQ,HHS,,Data refers to 2018-2019,Western and Central Europe,Europe
Cannabis,Poland,2016,2.4,,3.2,1.7,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Poland,2014,4.6,,7.8,1.7,,15-64,ARQ,HHS,,Data refers to 2014-2015,Western and Central Europe,Europe
Cannabis,Poland,2012,3.8,,6,1.7,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Poland,2010,9.6,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Poland,2006,2.7,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Portugal,2017,5.1,,7.3,3.1,,15-64,ARQ,HHS,,Data refers to 2016-2017,Western and Central Europe,Europe
Cannabis,Portugal,2012,2.7,,4.1,1.3,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Portugal,2007,3.6,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Puerto Rico,2005,4.88,6.65,,,3.1,15-64,Government source,SS,"d, e",,Caribbean,Americas
Cannabis,Republic of Korea,2004,0.29,0.55,,,0.07,15-64,ARQ,HHS,"c, e",,East and South-East Asia,Asia
Cannabis,Republic of Moldova,2010,0.7,,,,,15-64,Government source,HHS,,,Eastern Europe,Europe
Cannabis,Republic of Moldova,2008,0.9,,,,,15-64,Government source,HHS,,,Eastern Europe,Europe
Cannabis,Romania,2016,3.2,,4.3,2,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Romania,2013,2,,2.3,1.8,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Romania,2010,0.3,,,,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Romania,2007,0.4,,,,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Russian Federation,2007,3.49,3.51,,,3.46,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment,Eastern Europe,Europe
Cannabis,Saint Lucia,2010,8.87,12.1,,,5.64,15-64,UNODC Estimate,SS,"d, e",,Caribbean,Americas
Cannabis,Saint Lucia,2006,9,,,,,15-64,UNODC Estimate,SS,"d, e",,Caribbean,Americas
Cannabis,Saudi Arabia,2006,0.3,,,,,15-64,Government source/ NGO/Academic research,R,,,Near and Middle East/South-West Asia,Asia
Cannabis,Serbia,2014,1.6,,2.5,0.6,,18-64,Government source,HHS,,,South-Eastern Europe,Europe
Cannabis,Serbia,2006,4.07,5.39,,,2.75,15-64,Government source,HHS,"a, d, e",,South-Eastern Europe,Europe
Cannabis,Sierra Leone,2010,5.42,7.32,,,3.52,15-64,UNODC Estimate,,"a, b, e",,West and Central Africa,Africa
Cannabis,Slovakia,2015,4.3,,7,1.7,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Slovakia,2010,3.63,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cannabis,Slovakia,2006,6.9,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Slovenia,2012,4.4,,5.9,2.8,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Slovenia,2007,3.1,,,,,15-64,EMCDDA,HHS,e,,Western and Central Europe,Europe
Cannabis,South Africa,2011,3.65,4.42,,,2.88,15-64,ARQ,SS,"d, e",,Southern Africa,Africa
Cannabis,South Africa,2008,4.26,6.18,,,3.52,15-64,ARQ,HHS,"a, e",,Southern Africa,Africa
Cannabis,Spain,2017,11,11.4,15.4,6.6,10.6,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cannabis,Spain,2015,9.5,,13.3,5.6,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Spain,2013,9.2,,12.9,5.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Spain,2011,9.6,,13.6,5.5,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Spain,2009,10.6,,14.8,6.2,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sri Lanka,2018,1.9,,,,,14+,Government source,HHS,,,South Asia,Asia
Cannabis,Sri Lanka,2016,1.42,1.58,,,1.26,15-64,Government source,I,"g,h",,South Asia,Asia
Cannabis,Sri Lanka,2012,1.31,,,,,15-64,ARQ,HHS,,,South Asia,Asia
Cannabis,Sri Lanka,2010,1.43,1.43,,,1.43,15-64,UNODC Estimate,,h,,South Asia,Asia
Cannabis,Suriname,2013,3.4,,6.6,0.4,,12-65,ARQ,HHS,,Herb,South America,Americas
Cannabis,Suriname,2007,4.25,4.7,,,3.8,12-65,Government source,HHS,,,South America,Americas
Cannabis,Suriname,2002,2,,,,,15-64,UNODC Estimate,,,,South America,Americas
Cannabis,Sweden,2018,3.9,,5.2,2.4,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2016,3.4,,4.1,2.6,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2015,3.2,,4.1,2.3,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2014,2.88,,4.1,1.63,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2013,3.16,,4.35,1.86,,17-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2012,3,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2011,2.61,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Sweden,2010,2.8,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2016,9.09,,,,,15-64,Government source,HHS,a,,Western and Central Europe,Europe
Cannabis,Switzerland,2015,8.09,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2014,6.7,,9.3,4.2,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2013,5.7,,7.8,3.7,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2012,6.3,,,,,15+,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2011,5.1,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Switzerland,2008,3.4,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cannabis,Thailand,2019,1.33,,,,,15-64,Government source,HHS,,,East and South-East Asia,Asia
Cannabis,Thailand,2007,1.2,,,,,12-65,ARQ,HHS,,,East and South-East Asia,Asia
Cannabis,Togo,2009,1,3.1,,,0.2,15-64,UNODC Estimate,SS,"d, e",,West and Central Africa,Africa
Cannabis,Togo,2006,2.73,,,,,15-64,UNODC Estimate,SS,"d, e",,West and Central Africa,Africa
Cannabis,Trinidad and Tobago,2010,4.03,6.52,,,1.55,15-64,UNODC Estimate,SS,"d, e",,Caribbean,Americas
Cannabis,Trinidad and Tobago,2006,4.66,6.42,,,2.91,15-64,Government source,SS,"d, e",,Caribbean,Americas
Cannabis,Trinidad and Tobago,2002,3.7,,,,,,UNODC Estimate,,e,,Caribbean,Americas
Cannabis,Tunisia,2013,2.6,,,,,15-64,ARQ,HHS,,,North Africa,Africa
Cannabis,Turkey,2018,1.11,,2.22,0.09,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cannabis,Turkey,2017,1.11,,2.22,0.09,,15-64,EMCDDA,HHS,,,South-Eastern Europe,Europe
Cannabis,Turkey,2011,0.3,,0.5,0.1,,15-64,EMCDDA,HHS,,,South-Eastern Europe,Europe
Cannabis,Turkey,2003,1.9,,,,,15-64,UNODC Estimate,,,,South-Eastern Europe,Europe
Cannabis,Ukraine,2015,2.13,2.98,,,1.29,15-64,ESPAD/UNODC Estimate,SS,"d, e",,Eastern Europe,Europe
Cannabis,Ukraine,2011,2.9,4.6,,,1.2,15-64,UNODC Estimate,SS,d,,Eastern Europe,Europe
Cannabis,Ukraine,2007,2.5,2.59,,,2.4,15-64,ESPAD,SS,"d, e",,Eastern Europe,Europe
Cannabis,United Arab Emirates,2006,5.35,,,,,15-64,UNODC Estimate,,,,Near and Middle East/South-West Asia,Asia
Cannabis,United Kingdom (England and Wales),2018,7.6,,10.28,5,,16-59,Government source,HHS,,Data refers to 2018/19. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2017,7.18,,9.55,4.82,,16-59,Government source,HHS,,Data refers to 2017/18. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2016,6.6,,8.99,4.23,,16-59,Government source,HHS,,Data refers to 2016/17. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2015,6.47,,9.14,3.85,,16-59,Government source,HHS,,Data refers to 2015/16. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2014,6.69,,9.43,4.02,,16-59,Government source,HHS,,Data refers to 2014/15. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2013,6.59,,9.11,4.1,,16-59,Government source,HHS,,Data refers to 2013/14. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2012,6.29,,8.51,4.08,,16-59,Government source,HHS,,Data refers to 2012/13. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2011,6.8,,9.53,4.1,,16-59,Government source,HHS,,Data refers to 2011/12. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (England and Wales),2010,6.7,,9.15,4.29,,16-59,Government source,HHS,,Data refers to 2010/11. Crime Survey for England and Wales.,Western and Central Europe,Europe
Cannabis,United Kingdom (Northern Ireland),2014,4.6,,,,,15-64,Government source,HHS,,Data refers to 2014/15,Western and Central Europe,Europe
Cannabis,United Kingdom (Northern Ireland),2011,5.1,,,,,15-64,Government source,HHS,,Data refers to 2010/11,Western and Central Europe,Europe
Cannabis,United Kingdom (Northern Ireland),2006,7.2,,,,,15-64,Government source,HHS,,,Western and Central Europe,Europe
Cannabis,United Kingdom (Scotland),2014,6.29,,9,3.68,,16-64,Government source,HHS,,Data refers to 2014/15,Western and Central Europe,Europe
Cannabis,United Kingdom (Scotland),2013,6.5,,9.5,3.6,,16-64,Government source,HHS,,Data refers to 2012/13,Western and Central Europe,Europe
Cannabis,United Kingdom (Scotland),2011,7,,,,,16-64,Government source,HHS,,Data refers to 2010/11,Western and Central Europe,Europe
Cannabis,United Kingdom (Scotland),2010,7.6,,,,,16-64,Government source,HHS,,Data refers to 2009/10,Western and Central Europe,Europe
Cannabis,United States of America,2018,19.4,,22.2,16.8,,15-64,ARQ,HHS,,Cannabis herb,North America,Americas
Cannabis,United States of America,2017,18.4,,21.4,15.5,,15-64,ARQ,HHS,,Cannabis herb,North America,Americas
Cannabis,United States of America,2016,17,,19.9,14.1,,15-64,ARQ,HHS,,Cannabis herb,North America,Americas
Cannabis,United States of America,2015,16.5,,19.4,13.6,,15-64,ARQ,HHS,,Cannabis herb,North America,Americas
Cannabis,United States of America,2014,16.2,,19.9,12.7,,15-64,ARQ,HHS,,,North America,Americas
Cannabis,United States of America,2013,15.4,,18.7,12.2,,15-64,ARQ,HHS,,,North America,Americas
Cannabis,United States of America,2012,14.8,,,,,15-64,ARQ,HHS,,,North America,Americas
Cannabis,United States of America,2011,14,,,,,15-64,ARQ,HHS,,,North America,Americas
Cannabis,Uruguay,2018,14.6,,17.8,11.5,,15-65,ARQ,HHS,,Cannabis herb,South America,Americas
Cannabis,Uruguay,2014,9.3,,12.5,6.4,,15-65,ARQ,HHS,,Cannabis herb,South America,Americas
Cannabis,Uruguay,2011,8.3,,11.5,5.4,,15-64,ARQ,HHS,,,South America,Americas
Cannabis,Uruguay,2006,5.6,,,,,15-64,ARQ,HHS,,,South America,Americas
Cannabis,Uzbekistan,2003,4.2,,,,,15-64,UNODC Estimate,,e,,Central Asia and Transcaucasia,Asia
Cannabis,Venezuela (Bolivarian Republic of),2011,1.56,,,,,12-65,Government source,HHS,,,South America,Americas
Cannabis,Venezuela (Bolivarian Republic of),2005,0.85,,,,,15-64,Government source,HHS,"a, e",,South America,Americas
Cannabis,Zambia,2004,9.5,15.6,,,4,15-64,Govt; Academic Research,SS,"d, e",,Southern Africa,Africa
Cannabis,Zambia,2003,17.7,,,,,,UNODC Estimate,,,,Southern Africa,Africa
Cocaine,Afghanistan,2009,0,,,,,15-64,UNODC/ Government source,HHS,,,Near and Middle East/South-West Asia,Asia
Cocaine,Albania,2014,2.5,,,,,15-64,Public health research,HHS,,,South-Eastern Europe,Europe
Cocaine,Albania,2014,2.5,,4.5,0.5,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cocaine,Albania,2006,0.78,1.62,,,0.01,15-64,Government sources,SS,"d, e",,South-Eastern Europe,Europe
Cocaine,Albania,2004,0.08,,,,,15-64,UNODC Estimate,,e,,South-Eastern Europe,Europe
Cocaine,Algeria,2010,0.01,,0.02,0,,12+,ARQ,HHS,,,North Africa,Africa
Cocaine,Argentina,2017,1.67,1.75,,,1.6,15-64,UNODC Estimate,HHS,,"Includes cocaine salts and ""paco""",South America,Americas
Cocaine,Argentina,2011,0.73,,1.26,0.11,,16-65,ARQ,HHS,,Does not include crack,South America,Americas
Cocaine,Argentina,2008,1,,,,,12-65,Government source,HHS,,Does not include crack,South America,Americas
Cocaine,Armenia,2005,0.1,,,,,15-64,UNODC Estimate,HHS,,,Central Asia and Transcaucasia,Asia
Cocaine,Australia,2016,2.5,,3.1,2,,14+,ARQ,HHS,,,Australia and New Zealand,Oceania
Cocaine,Australia,2013,2.1,,2.9,1.4,,14+,ARQ,HHS,,,Australia and New Zealand,Oceania
Cocaine,Australia,2010,2.1,,,,,14+,ARQ,HHS,,,Australia and New Zealand,Oceania
Cocaine,Australia,2007,1.9,,,,,15-64,Government source,HHS,,,Australia and New Zealand,Oceania
Cocaine,Austria,2015,0.4,0.6,0.4,0.3,0.2,15-64,Government source,HHS,,Including crack,Western and Central Europe,Europe
Cocaine,Austria,2008,0.9,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Austria,2004,0.9,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cocaine,Bahamas,2017,0.05,0.1,0.1,0,0.02,12-65,Government source,HHS,,,Caribbean,Americas
Cocaine,Barbados,2006,0.4,,,,,15-64,CICAD,HHS,,,Caribbean,Americas
Cocaine,Belarus,2007,0.06,0.12,,,0.01,15-64,ESPAD,SS,"d, e",,Eastern Europe,Europe
Cocaine,Belgium,2013,0.5,,0.7,0.3,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Belgium,2008,0.9,,1.3,0.5,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Belgium,2007,1.21,,,,,15-64,ESPAD,SS,"c, d, e",,Western and Central Europe,Europe
Cocaine,Belize,2005,0.85,,,,,12-65,UNODC Estimate,HHS,,,Central America,Americas
Cocaine,Bermuda,2009,1.3,1.6,,,1,16-65,Government source,HHS,,,North America,Americas
Cocaine,Bolivia (Plurinational State of),2018,0.69,0.79,1,0.41,0.58,12-65,ARQ/UNODC Estimate,HHS,,Salt and pasta base,South America,Americas
Cocaine,Bolivia (Plurinational State of),2014,0.36,0.39,0.48,0.295,0.33,12-65,UNODC Estimate,HHS,,Salt and pasta base,South America,Americas
Cocaine,Bolivia (Plurinational State of),2013,0.36,0.39,,,0.33,12-65,UNODC Estimate,HHS,,Salt and pasta base,South America,Americas
Cocaine,Bolivia (Plurinational State of),2007,0.6,,0.6,0.5,,15-64,ARQ,HHS,,,South America,Americas
Cocaine,Bosnia and Herzegovina,2008,0.63,1.92,,,0.01,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Cocaine,Brazil,2016,1,1.1,,,0.8,15-64,Government source,HHS,,Cocaine powder and crack,South America,Americas
Cocaine,Brazil,2005,0.7,,,,,12-65,Government source,HHS,c,,South America,Americas
Cocaine,Bulgaria,2016,0.3,,0.4,0.2,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cocaine,Bulgaria,2012,0.2,,0.2,0.1,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cocaine,Bulgaria,2007,0.6,,,,,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Cocaine,Bulgaria,2005,0.3,,,,,18-60,ARQ,HHS,,,South-Eastern Europe,Europe
Cocaine,Cabo Verde,2012,0.2,,,,,15-64,UNODC/Government source,HHS,,,West and Central Africa,Africa
Cocaine,Cabo Verde,2004,0.23,,,,,15-64,UNODC Estimate,,"d, e",,West and Central Africa,Africa
Cocaine,Canada,2017,2.5,,3.7,1.3,,15+,ARQ,HHS,,,North America,Americas
Cocaine,Canada,2015,1.47,,1.83,1.12,,15-64,ARQ,HHS,,,North America,Americas
Cocaine,Canada,2013,1.1,,1.6,0.6,,15-64,ARQ,HHS,,,North America,Americas
Cocaine,Canada,2012,1.3,,1.7,,,15-64,ARQ,HHS,,,North America,Americas
Cocaine,Canada,2011,1.1,,,,,15-64,ARQ,HHS,,,North America,Americas
Cocaine,Canada,2010,0.82,,,,,15-64,ARQ,HHS,,,North America,Americas
Cocaine,Chile,2018,1.42,,2.4,0.46,,15-64,ARQ,HHS,,"Includes cocaine salts, crack cocaine and ""pasta base""",South America,Americas
Cocaine,Chile,2016,1.38,,2.21,0.55,,15-64,ARQ,HHS,,"Cocaine salt, crack and ""pasta base""",South America,Americas
Cocaine,Chile,2014,1.73,,2.85,0.65,,15-64,ARQ,HHS,,,South America,Americas
Cocaine,Chile,2012,1.21,,1.92,0.51,,15-64,ARQ,HHS,,,South America,Americas
Cocaine,Chile,2010,1.01,,,,,15-64,ARQ,HHS,,,South America,Americas
Cocaine,Chile,2008,2.4,,,,,15-64,ARQ,HHS,,,South America,Americas
Cocaine,"China, Hong Kong SAR",2008,0.25,0.3,,,0.2,15-64,Government source,SS,"d, e",,East and South-East Asia,Asia
Cocaine,"China, Taiwan Province of China",2005,0.1,,,,,15-64,AMCEWG,,,,East and South-East Asia,Asia
Cocaine,Colombia,2013,0.7,0.84,1.23,0.2,0.55,12-65,ARQ,HHS,,,South America,Americas
Cocaine,Colombia,2008,0.72,0.9,1.28,0.22,0.53,12-65,ARQ,HHS,,,South America,Americas
Cocaine,Colombia,2003,0.8,,,,,18-65,Government source,,,,South America,Americas
Cocaine,Costa Rica,2015,1.23,,1.95,0.49,,12-70,ARQ,HHS,,Cocaine,Central America,Americas
Cocaine,Costa Rica,2015,1.33,,2.16,0.5,,15-64,ARQ,HHS,,"Includes cocaine salts and ""crack""",Central America,Americas
Cocaine,Costa Rica,2010,1.06,,1.73,0.38,,15-64,ARQ,HHS,,,Central America,Americas
Cocaine,Costa Rica,2006,0.31,0.38,,,0.23,12-70,ARQ,HHS,,,Central America,Americas
Cocaine,Côte d'Ivoire,2017,0.59,0.78,,,0.49,15-64,Government source/UNODC Estimate,SS,d,"Includes cocaine salts and ""crack""",West and Central Africa,Africa
Cocaine,Croatia,2015,0.8,,1.2,0.4,,15-64,ARQ,HHS,,Cocaine salt,South-Eastern Europe,Europe
Cocaine,Croatia,2012,0.5,,,,,15-64,EMCDDA,HHS,,,South-Eastern Europe,Europe
Cocaine,Croatia,2007,0.88,0.89,,,0.87,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Cocaine,Cyprus,2016,0.2,,0.4,0,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Cyprus,2012,0.3,,0.4,0.2,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Cyprus,2009,1.2,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Cyprus,2006,0.6,,,,,15-65,ARQ,,,,Western and Central Europe,Europe
Cocaine,Czechia,2017,0.1,,0,0.2,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Cocaine,Czechia,2016,0.3,,0.4,0.2,,15-64,ARQ,HHS,,Cocaine salts,Western and Central Europe,Europe
Cocaine,Czechia,2015,0.1,,0,0.2,,15-64,ARQ,HHS,,Cocaine salts,Western and Central Europe,Europe
Cocaine,Czechia,2014,0.2,,0.5,0,,15-64,ARQ,HHS,,Cocaine salt,Western and Central Europe,Europe
Cocaine,Czechia,2013,0.1,,0.2,0,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Czechia,2012,0.4,,0.8,0,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Czechia,2010,0.4,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Czechia,2008,0.7,,,,,15-64,Government sources,HHS,,,Western and Central Europe,Europe
Cocaine,Denmark,2017,1.6,,2.6,0.7,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Denmark,2013,0.9,,1.5,0.5,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Cocaine,Denmark,2010,0.9,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
